id;date;actor1;actor2;numEvent;goldenstein;numMen;numSource;numArticle;avgTone;url
253487103;20130401;USA;USA;20;3;1;1;1;1.634877384;http://www.usatoday.com/story/news/nation/2013/04/01/kaufman-county-district-attorney-shooting-alert-texas/2042011/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+UsatodaycomNation-TopStories+%28News+-+Nation+-+Top+Stories%29
253487104;20130401;USA;USA;20;3;1;1;1;1.634877384;http://www.usatoday.com/story/news/nation/2013/04/01/kaufman-county-district-attorney-shooting-alert-texas/2042011/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+UsatodaycomNation-TopStories+%28News+-+Nation+-+Top+Stories%29
253487105;20130401;USA;USA;20;3;20;1;20;1.25962273;http://www.miamiherald.com/2013/04/01/3317958/council-oks-extension-for-long.html
253487106;20130401;USA;USA;20;3;2;1;2;0.625978091;http://cnsnews.com/news/article/council-oks-extension-long-delayed-wyo-plant
253487107;20130401;USA;USA;20;3;8;1;8;0.625978091;http://cnsnews.com/news/article/council-oks-extension-long-delayed-wyo-plant
253487108;20130401;USA;USA;20;3;2;2;2;1.752589317;http://news.yahoo.com/ark-house-finishes-veto-override-voter-id-bill-192801206--election.html
253487109;20130401;USA;USA;20;3;60;5;60;2.112098485;http://swampland.time.com/2013/04/01/arkansas-gop-led-legislature-passes-voter-id-law/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+timeblogs%2Fswampland+%28TIME%3A+Swampland%29
253487110;20130401;USA;USA;20;3;1;1;1;2.36318408;http://swampland.time.com/2013/04/01/arkansas-gop-led-legislature-passes-voter-id-law/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+timeblogs%2Fswampland+%28TIME%3A+Swampland%29
253487111;20130401;USA;USA;20;3;1;1;1;2.197802198;http://hosted.ap.org/dynamic/stories/U/US_ARKANSAS_VOTER_ID?SITE=NVREN&SECTION=HOME&TEMPLATE=DEFAULT
253487112;20130401;USA;USA;20;3;2;1;2;0.610687023;http://www.google.com/hostednews/ap/article/ALeqM5gIx6hotqat-w16qkOc_QLiXhJGYg?docId=baaaeece37774b4eb9f7e97ebe6dbfd8
253487113;20130401;USA;USA;20;3;5;1;5;0.610687023;http://www.google.com/hostednews/ap/article/ALeqM5gIx6hotqat-w16qkOc_QLiXhJGYg?docId=baaaeece37774b4eb9f7e97ebe6dbfd8
253487128;20130401;USA;USA;20;3;2;1;2;3.007518797;http://www.bizjournals.com/houston/news/2013/04/01/rice-university-to-research-oil-and.html
253487150;20130401;USA;USA;71;7.4;1;1;1;3.186504217;http://www.latimes.com/news/local/la-me-city-attorney-ethics-20130331,0,1740795.story?track=rss
253487168;20130401;USA;USA;20;3;15;2;15;3.713665252;http://www.bloomberg.com/news/2013-04-01/exxon-arkansas-spill-raises-scrutiny-of-keystone-pipeline.html
253487169;20130401;USA;USA;20;3;3;1;3;2.857142857;http://www.salon.com/2013/04/01/business_and_labor_strike_deal_on_low_skilled_worker_program_ap/
253487170;20130401;USA;USA;20;3;3;1;3;4.04040404;http://www.upi.com/Top_News/US/2013/04/01/Report-C-Kennedy-vetted-to-be-envoy/UPI-97701364835687
