20160818	USA	PSE	070
20160818	ZAF	AFR	070
20160818	AFR	UGA	075
20160818	EUR	USA	073
20160818	EUR	USA	073
20160818	SYR	RUS	070
20160818	SYR	RUS	070
20160818	SYR	RUS	070
20160818	SYR	USA	070
20160818	USA	EUR	073
20160818	USA	EUR	073
20160818	USA	ISR	072
20160818	USA	ISR	072
20160818	AUS	PNG	071
20160818	SAU	PAK	075
20160818	SYR	SYR	073
20160818	SYR	SYR	073
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	070
20160818	GBR	GBR	071
20160818	GBR	GBR	071
20160818	GBR	GBR	071
20160818	NAM	GBR	071
20160818	NAM	GBR	071
20160818	TUR	GHA	070
20160818	TUR	GHA	070
20160818	TUR	GHA	070
20160818	TUR	GHA	070
20160818	AFR	ZAF	071
20160818	BGR	RUS	073
20160818	CHE	PHL	071
20160818	CHE	PHL	071
20160818	CHE	PHL	071
20160818	CHE	PHL	071
20160818	GBR	GBR	071
20160818	EUR	COK	071
20160818	EUR	FSM	071
20160818	EUR	KIR	071
20160818	EUR	KIR	071
20160818	EUR	MHL	071
20160818	EUR	MHL	071
20160818	EUR	NRU	071
20160818	EUR	NRU	071
20160818	EUR	NZL	071
20160818	EUR	NZL	071
20160818	EUR	PLW	071
20160818	EUR	PLW	071
20160818	EUR	TON	071
20160818	EUR	TON	071
20160818	EUR	TUV	071
20160818	EUR	TUV	071
20160818	ISR	USA	071
20160818	KOR	UZB	070
20160818	KOR	UZB	070
20160818	USA	LTU	072
20160818	USA	LTU	072
20160818	TUR	SYR	072
20160818	USA	IRQ	071
20160818	USA	SRB	070
20160818	USA	SRB	070
20160818	USA	USA	073
20160818	USA	USA	071
20160818	AFR	USA	070
20160818	GBR	GBR	071
20160818	GBR	GBR	071
20160818	JPN	LUX	071
20160818	NLD	VNM	071
20160818	PHL	PHL	070
20160818	PHL	PHL	070
20160818	SYR	LBY	070
20160818	SYR	LBY	070
20160818	UKR	LBY	070
20160818	USA	USA	072
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160719	USA	GBR	071
20160818	BDI	JPN	071
20160818	CAN	CAN	071
20160818	CAN	JOR	070
20160818	CAN	CAN	070
20160818	CHN	KEN	071
20160818	CHN	KEN	071
20160818	ERI	JPN	071
20160818	GBR	USA	071
20160818	GBR	USA	071
20160818	RUS	RUS	071
20160818	RUS	RUS	071
20160818	RUS	USA	070
20160818	RUS	USA	070
20160818	RUS	RUS	071
