20161224	PSE	ISR	071
20161224	PSE	ISR	071
20161224	SYR	GBR	073
20161224	USA	USA	070
20161224	USA	GBR	071
20161224	USA	GBR	071
20161224	USA	ISR	071
20161224	USA	ISR	071
20161224	USA	SWE	071
20161224	USA	GBR	070
20161224	IDN	IDN	070
20161224	USA	GUY	073
20161224	USA	USA	071
20161224	USA	USA	070
20161224	GBR	EUR	070
20161224	JPN	THA	072
20161224	MLI	DZA	070
20161224	MLI	MLI	070
20161224	USA	GRC	071
20161224	USA	USA	070
20161224	CHN	CHN	071
20161224	EUR	EUR	070
20161224	EUR	EUR	070
20161224	EUR	EUR	070
20161224	IND	PAK	075
20161224	USA	USA	071
20161224	USA	USA	070
20161224	IRQ	IRQ	072
20161224	IRQ	IRQ	072
20161224	IRQ	IRQ	072
20161224	USA	USA	073
20161224	FIN	EUR	070
20161224	FIN	EUR	070
20161224	GBR	USA	070
20161224	GBR	USA	070
20161224	IRN	KGZ	070
20161224	IRN	KGZ	070
20161224	JOR	KGZ	070
20161224	JOR	KGZ	070
20161224	USA	ARG	071
20161224	USA	GBR	071
20161224	USA	GBR	071
20161224	USA	USA	070
20161224	USA	USA	070
20161224	GRC	EUR	070
20161224	USA	AFG	073
20161224	USA	AFG	073
20161224	USA	USA	071
20151225	AUS	NZL	070
20161224	SYR	GBR	071
20161224	SYR	GBR	071
20161224	SYR	GBR	071
20161224	USA	AFG	073
20161224	USA	USA	071
20161224	AUT	AUT	071
20161224	BEL	DEU	071
20161224	BEL	DEU	071
20161224	CAN	USA	070
20161224	CAN	POL	073
20161224	EUR	GBR	071
20161224	WST	AFG	072
20161224	WST	AFG	072
20161224	WST	USA	072
20161224	WST	USA	072
20161224	USA	CAN	070
20161224	USA	CAN	070
20161224	CAN	CAN	071
20161224	ETH	GBR	070
20161224	ETH	GBR	070
20161224	ETH	GBR	070
20161224	ETH	EGY	071
20161224	ETH	EGY	071
20161224	LBN	USA	071
20161224	LBN	USA	071
20161224	SAU	BEL	071
20161224	SAU	BEL	071
20161224	USA	CRI	071
20161224	USA	CRI	071
20161224	SOM	SOM	070
20161224	TWN	TWN	071
20161224	BEL	DEU	071
20161224	BEL	DEU	071
20161224	CHN	CHN	071
20161224	CHN	USA	071
20161224	DEU	DEU	070
20161224	DEU	DEU	070
20161224	PHL	JPN	071
20161224	PHL	JPN	071
20161224	USA	CHN	071
20161224	USA	PHL	075
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	EUR	GBR	071
20161224	GBR	EUR	071
20161224	GBR	EUR	071
20161224	MAR	KWT	070
20161224	MAR	KWT	070
20161224	MAR	KWT	070
20161224	NMR	NMR	070
20161224	RUS	IRN	073
20161224	RUS	IRN	073
20161224	RUS	IRN	073
20161224	SYR	IRN	073
20161224	SYR	IRN	073
20161224	USA	UKR	071
20161224	USA	USA	070
20161224	USA	USA	070
20161224	EGY	EGY	071
20161224	FRA	UKR	070
20161224	ISR	PSE	070
20161224	MMR	USA	070
20161224	RUS	SYR	075
20161224	RUS	UKR	075
20161224	USA	SYR	070
20161224	USA	USA	071
20161224	USA	USA	071
20161224	YEM	KEN	070
20161224	CAN	MLI	071
20161224	CAN	MLI	071
20161224	GBR	GBR	070
20161224	USA	PHL	075
20161224	CHN	CAN	075
20161224	CHN	CAN	075
20161224	RUS	BEL	071
20161224	RUS	BEL	071
20161224	TZA	TZA	073
20161224	USA	PAK	070
20161224	USA	FRA	070
20161224	GBR	CAN	071
20161224	GBR	CAN	071
20161224	GBR	CAN	071
20161224	USA	USA	070
20161224	CAN	CHE	075
20161224	CHE	CAN	075
20161224	CHN	CHN	071
20161224	USA	ISR	071
20161224	CAN	LCA	070
20161224	JPN	AFR	070
20161224	JPN	AFR	070
20161224	CAN	LCA	070
20161224	USA	NMR	073
20161224	USA	USA	073
20161224	NZL	AUS	070
20161224	NZL	AUS	070
20161224	TUN	CZE	070
20161224	TUN	CZE	070
20161224	CAN	CAN	071
20161224	CHN	CAN	073
20161224	CHN	CAN	073
20161224	DEU	USA	070
20161224	ISR	ISR	071
20161224	ISR	ISR	071
20161224	USA	MMR	070
20161224	USA	USA	070
20161224	GBR	GBR	072
20161224	NZL	TON	071
20161224	TUN	CZE	070
20161224	CAN	MEX	073
20161224	CAN	MEX	073
20161224	CHN	ARG	071
20161224	CHN	ARG	071
20161224	USA	PSE	071
20161224	USA	PSE	071
20161224	AFR	AFR	070
20161224	ISR	SEN	070
20161224	ISR	SEN	070
20161224	LBY	ZAF	071
20161224	LBY	ZAF	071
20161224	RUS	FRA	071
20161224	ZAF	AFR	070
20161224	ZAF	AFR	070
20161224	ZAF	AFR	070
20161224	DEU	FRA	071
20161224	DEU	FRA	071
20161224	DEU	FRA	071
20161224	FRA	FRA	071
20161224	FRA	FRA	071
20161224	RUS	TUR	071
20161224	RUS	TUR	071
20161224	RUS	TUR	071
20161224	USA	USA	071
20161224	USA	ISR	071
20161224	USA	CUB	070
20161224	CYP	EUR	071
20161224	EUR	BGR	071
20161224	ISR	NZL	071
20161224	ISR	NZL	071
20161224	NZL	TON	071
20161224	USA	USA	070
20161224	USA	TUR	070
20161224	USA	USA	070
20161224	ISR	ISR	070
20151225	FIN	FIN	070
20161224	CHN	USA	070
20161224	CHN	USA	070
20161224	DEU	PER	071
20161224	DZA	MAR	070
20161224	NZL	AUS	070
20161224	TWN	PER	071
20161224	TWN	PER	071
20161224	ETH	ETH	070
20161224	USA	USA	071
20161224	USA	USA	073
20161224	SYR	AUS	073
20161224	USA	ISR	071
20161224	USA	ISR	071
20161224	USA	POL	075
20161224	USA	POL	075
20161224	USA	PSE	071
20161224	USA	PSE	071
20161224	USA	USA	072
20161224	USA	USA	073
20161224	USA	USA	073
20161224	USA	USA	073
20161224	USA	AFG	071
20161224	CHN	IRL	072
20161224	USA	USA	071
20161224	SAU	SAU	070
20161224	DEU	TUN	075
20161224	DEU	TUN	075
20161224	DEU	TUN	075
20161224	USA	USA	071
20161224	USA	USA	070
20161224	USA	USA	070
20161224	BRA	BRA	071
20161224	EGY	USA	070
20161224	EGY	USA	070
20161224	FIN	EUR	070
20161224	FIN	EUR	070
20161224	PAK	SYR	072
