20150919	USA	SDN	075
20150919	USA	USA	071
20150919	VEN	GUY	072
20150919	VEN	GUY	072
20150919	BGD	SYR	071
20150919	BGD	SYR	071
20150919	BHS	USA	071
20150919	HRV	HUN	070
20150919	HRV	HUN	070
20150919	HRV	HUN	070
20150919	HRV	HUN	073
20150919	HRV	HUN	073
20150919	ITA	USA	073
20150919	ITA	USA	073
20150919	PSE	EUR	075
20150919	PSE	EUR	075
20150919	RUS	USA	072
20150919	SYR	TUR	073
20150919	SYR	USA	072
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	CZE	CZE	071
20150919	DEU	DEU	072
20150919	ITA	LBY	073
20150919	QAT	SYR	070
20150919	QAT	SYR	070
20150919	QAT	SYR	070
20150919	QAT	SYR	070
20150919	SYR	DEU	073
20150919	USA	USA	071
20150919	USA	USA	072
20150919	USA	USA	072
20150919	ARE	EGY	071
20150919	ARE	EGY	071
20150919	ARE	EGY	071
20150919	ARE	EGY	071
20150919	EUR	LBY	073
20150919	EUR	LBY	073
20150919	GBR	SYR	075
20150919	SAU	EGY	071
20150919	SAU	EGY	071
20150919	SAU	EGY	071
20150919	SAU	EGY	071
20150919	USA	FRA	071
20150919	USA	FRA	071
20150919	USA	USA	070
20150919	EUR	HUN	075
20150919	EUR	HUN	075
20150919	ITA	EUR	073
20150919	TUR	SYR	075
20150919	TUR	SYR	075
20150919	GRC	GRC	071
20150919	GRC	GRC	071
20150919	ITA	EUR	073
20150919	TUR	SYR	073
20150919	USA	BFA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	071
20150919	VAT	VAT	071
20150919	VAT	VAT	071
20150919	EUR	RUS	070
20150919	EUR	ALB	073
20150919	EUR	ALB	073
20150919	EUR	IRL	073
20150919	ITA	EUR	073
20150919	ITA	EUR	073
20150919	ITA	EUR	073
20150919	LBN	SYR	072
20150919	LBN	SYR	072
20150919	USA	USA	070
20150919	AFR	EUR	070
20150919	AFR	EUR	070
20150919	EUR	HUN	075
20150919	SYR	GBR	073
20150919	CUB	ITA	074
20150919	GBR	DEU	075
20150919	GBR	DEU	075
20150919	EUR	TUR	071
20150919	IRL	IRL	070
20150919	IRL	IRL	073
20150919	TUR	SYR	073
20150919	TUR	SYR	073
20150919	USA	BFA	070
20150919	USA	SAU	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	AFR	EUR	070
20150919	CAN	USA	070
20150919	CAN	USA	070
20150919	ISR	ESP	070
20150919	PHL	AFR	071
20150919	USA	CAN	071
20150919	USA	CAN	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	VNM	071
20150919	USA	USA	070
20150919	AUS	AUS	070
20150919	AUT	DEU	070
20150919	EUR	HUN	073
20150919	EUR	HUN	075
20150919	EUR	HUN	075
20150919	GBR	SGP	070
20150919	GBR	SGP	070
20150919	HRV	JPN	074
20150919	ITA	USA	070
20150919	LBY	SAU	070
20150919	RUS	USA	073
20150919	USA	USA	071
20150919	USA	USA	070
20150919	AFR	EUR	070
20150919	AFR	EUR	070
20150919	IND	USA	071
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	USA	AFR	070
20150919	USA	RUS	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	AFR	EUR	070
20150919	CHN	KEN	071
20150919	GBR	AUS	071
20150919	GBR	AUS	071
20150919	HRV	HUN	070
20150919	KEN	CHN	071
20150919	SYR	SYR	072
20150919	AUT	HRV	075
20150919	AUT	SYR	071
20150919	EUR	SAU	070
20150919	EUR	SAU	070
20150919	EUR	SAU	071
20150919	EUR	SAU	071
20150919	IDN	THA	073
20150919	THA	THA	070
20150919	USA	ITA	073
20150919	ESP	GBR	071
20150919	ESP	GBR	072
20150919	NGA	NGA	073
20150919	SYR	USA	073
20150919	VAT	TUR	071
20150919	CAN	SYR	075
20150919	CAN	SYR	075
20150919	CAN	SYR	075
20150919	EUR	AFG	075
20150919	EUR	AFG	075
20150919	EUR	IRQ	075
20150919	EUR	IRQ	075
20150919	EUR	LBY	075
20150919	EUR	LBY	075
20150919	EUR	SYR	075
20150919	EUR	YEM	075
20150919	EUR	YEM	075
20150919	GRC	GRC	073
20150919	GRC	GRC	073
20150919	ITA	LBY	073
20150919	ITA	LBY	073
20150919	JOR	LBN	070
20150919	JOR	LBN	070
20150919	RUS	PNG	070
20150919	RUS	PNG	070
20150919	RUS	PNG	070
20150919	TWN	SOM	071
20150919	TWN	SOM	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	ARE	070
20150919	USA	USA	070
20150919	BFA	CAF	075
20150919	BFA	CAF	075
20150919	BFA	MLI	075
20150919	CAF	CAF	075
20150919	CAF	CAF	075
20150919	CAF	COD	075
20150919	GBR	GRC	070
20150919	GBR	GRC	070
20150919	IRQ	IRQ	072
20150919	MLI	CAF	075
20150919	MLI	CAF	075
20150919	NGA	NGA	073
20150919	SYR	USA	073
20150919	USA	USA	070
20150912	USA	SYR	075
20150912	USA	SYR	075
20150919	CAN	USA	073
20150919	CAN	USA	073
20150919	CAN	USA	073
20150919	CAN	USA	073
20150919	HRV	DEU	070
20150919	HUN	DEU	070
20150919	EUR	TUR	071
20150919	RUS	PNG	070
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	USA	ARE	070
20150919	EUR	HUN	075
20150919	EUR	HUN	075
20150919	USA	DEU	073
20150919	USA	USA	070
20150919	CHN	CHN	071
20150919	RUS	FIN	073
20150919	RUS	FIN	073
20150919	RUS	USA	075
20150919	RUS	USA	075
20150919	TUR	SYR	073
20150919	TUR	SYR	073
20150919	USA	FRA	071
20150919	USA	ITA	070
20150919	CAN	SYR	075
20150919	CAN	SYR	075
20150919	HRV	DEU	070
20150919	SYR	SYR	075
20150919	USA	USA	071
20150919	AUT	HRV	075
20150919	AUT	SYR	071
20150919	AUT	SYR	071
20150919	BEL	ITA	071
20150919	BEL	ITA	071
20150919	CZE	SYR	070
20150919	CZE	SYR	070
20150919	IRN	ARE	071
20150919	IRN	PSE	071
20150919	SOM	USA	075
20150919	SOM	SOM	075
20150919	SOM	USA	075
20150919	USA	SOM	075
20150919	USA	SOM	075
20150919	USA	SYR	071
20150919	USA	SYR	071
20150919	USA	USA	073
20150919	USA	BFA	070
20150919	BRN	USA	070
20150919	BRN	USA	070
