20140530	JOR	IRQ	075
20140530	JOR	IRQ	075
20140530	JOR	IRQ	075
20140530	JOR	JOR	073
20140530	JOR	PSE	075
20140530	JOR	PSE	075
20140530	JOR	USA	073
20140530	JOR	ISR	071
20140530	JOR	ISR	071
20140530	JOR	ISR	071
20140530	JOR	JOR	075
20140530	JPN	CHN	072
20140530	JPN	CHN	072
20140530	JPN	JPN	070
20140530	JPN	KHM	071
20140530	JPN	PHL	072
20140530	JPN	PHL	072
20140530	JPN	PRK	070
20140530	JPN	PRK	070
20140530	JPN	PRK	070
20140530	JPN	PRK	073
20140530	JPN	PRK	073
20140530	JPN	PRK	073
20140530	JPN	USA	070
20140530	JPN	USA	070
20140530	JPN	USA	072
20140530	JPN	CHN	072
20140530	JPN	JPN	070
20140530	JPN	KHM	071
20140530	JPN	JPN	070
20140530	KEN	AFR	073
20140530	KEN	AFR	074
20140530	KEN	AFR	074
20140530	KEN	AFR	074
20140530	KEN	AFR	074
20140530	KEN	AUT	073
20140530	KEN	AUT	073
20140530	KEN	AFR	074
20140530	KOR	USA	071
20140530	KOR	USA	071
20140530	KWT	EGY	070
20140530	KWT	EGY	070
20140530	LBN	DEU	070
20140530	LBN	DEU	070
20140530	LBN	DEU	070
20140530	LBN	DEU	070
20140530	LBN	SYR	073
20140530	LBN	SYR	073
20140530	LBN	USA	072
20140530	LBN	USA	072
20140530	LBN	USA	072
20140530	LBY	AUS	070
20140530	LBY	AUS	070
20140530	LBY	TUN	075
20140530	LBY	TUN	075
20140530	LKA	LKA	071
20140530	LKA	USA	071
20140530	LKA	USA	071
20140530	LKA	LKA	071
20140530	LTU	WST	070
20140530	LTU	WST	070
20140530	LVA	DEU	071
20140530	MAR	TUN	072
20140530	MAR	TUN	072
20140530	MAR	TUN	072
20140530	MEX	USA	070
20140530	MLT	USA	075
20140530	CAN	USA	071
20140530	FIN	FIN	070
20140530	IND	THA	071
20140530	JPN	CAN	070
20140530	JPN	CAN	070
20140530	JPN	GBR	070
20140530	JPN	PER	071
20140530	JPN	PER	071
20140530	JPN	USA	070
20140530	USA	IRL	071
20140530	USA	LUX	071
20140530	USA	LUX	071
20140530	USA	LUX	071
20140530	USA	RUS	071
20140530	USA	RUS	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	070
20140530	MRT	MLI	074
20140530	MRT	MLI	074
