20161217	KEN	CHN	071
20161217	IRN	RUS	070
20161217	IRN	RUS	071
20161217	IRN	RUS	071
20161217	IRN	RUS	070
20161217	IRN	RUS	071
20161217	ISL	SGP	073
20161217	USA	USA	070
20161217	WST	SYR	072
20161217	IRQ	IRQ	070
20161217	IRQ	IRQ	070
20161217	IRQ	IRQ	070
20161217	PAK	ASA	071
20161217	PAK	ASA	071
20161217	RUS	SYR	073
20161217	USA	SYR	072
20161217	USA	SYR	072
20161217	USA	SYR	072
20161217	SGP	SGP	070
20161217	USA	CHN	072
20161217	GBR	GBR	073
20161217	CHN	LKA	071
20161217	CHN	LKA	071
20161217	CHN	LKA	071
20161217	EGY	USA	071
20161217	EGY	USA	071
20161217	ISR	AUT	071
20161217	ISR	AUT	071
20161217	ISR	NOR	071
20161217	ISR	SWE	071
20161217	MAR	USA	075
20161217	NOR	NGA	071
20161217	PSE	AUT	071
20161217	PSE	AUT	071
20161217	PSE	NOR	071
20161217	PSE	NOR	071
20161217	PSE	SWE	071
20161217	PSE	SWE	071
20161217	PSE	AUT	071
20161217	PSE	NOR	071
20161217	PSE	SWE	071
20161217	USA	DEU	070
20161217	USA	DEU	070
20161217	USA	DEU	070
20161217	AUS	VCT	070
20161217	AUS	VCT	070
20161217	DEU	SOM	070
20161217	DEU	SOM	070
20161217	GBR	EUR	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CHN	UKR	073
20161217	CHN	UKR	073
20161217	CHN	UKR	073
20161217	CHN	UKR	073
20161217	CHN	UKR	073
20161217	CHN	UKR	073
20161217	SYR	SAU	071
20161217	ZAF	AFR	070
20161217	GBR	IRL	070
20161217	GHA	AUS	071
20161217	USA	USA	073
