20150130	EUR	ISR	071
20150130	EUR	LBN	070
20150130	EUR	NOR	070
20150130	EUR	PSE	071
20150130	EUR	PSE	071
20150130	EUR	PSE	071
20150130	EUR	SAU	071
20150130	EUR	SWE	071
20150130	EUR	SYR	075
20150130	EUR	USA	070
20150130	EUR	USA	070
20150130	EUR	VNM	070
20150130	EUR	VNM	070
20150130	EUR	GRC	071
20150130	SEA	PHL	073
20150130	IND	IND	073
20150130	IRL	FRA	071
20150130	IRL	GBR	070
20150130	IRL	GBR	070
20150130	IRL	KEN	071
20150130	IRL	KEN	071
20150130	IRL	LBN	074
20150130	IRL	LBN	074
20150130	IRL	LBN	074
20150130	IRL	LBN	074
20150130	IRL	LBN	074
20150130	IRL	LBN	074
20150130	IRL	IRL	071
20150130	IRL	LBN	074
20150130	IRL	LBN	074
20150130	IRN	AZE	071
20150130	IRN	AZE	071
20150130	IRN	AZE	071
20150130	IRN	EUR	072
20150130	IRN	EUR	072
20150130	IRN	LBN	071
20150130	IRN	SAU	070
20150130	IRN	SAU	070
20150130	IRN	SAU	070
20150130	IRN	SYR	072
20150130	IRN	SYR	072
20150130	IRN	SYR	072
20150130	IRN	USA	072
20150130	IRN	USA	072
20150130	IRN	USA	072
20150130	IRN	USA	072
20150130	IRN	USA	072
20150130	IRN	YEM	070
20150130	IRN	YEM	070
20150130	IRN	YEM	070
20150130	IRQ	IRQ	072
20150130	IRQ	IRQ	072
20150130	IRQ	JPN	070
20150130	IRQ	JPN	070
20150130	IRQ	JPN	070
20150130	IRQ	JPN	070
20150130	IRQ	JPN	070
20150130	ISR	IRN	071
20150130	ISR	ISR	072
20150130	ISR	ISR	071
20150130	ISR	PSE	071
20150130	ISR	PSE	071
20150130	ISR	PSE	071
20150130	ISR	PSE	071
20150130	ISR	USA	070
20150130	ISR	USA	071
20150130	ISR	USA	071
20150130	ISR	USA	071
20150130	ISR	USA	071
20150130	ISR	USA	070
20150130	ISR	ISR	072
20150130	ITA	ARE	073
20150130	ITA	ESP	073
20150130	ITA	ESP	073
20150130	ITA	VAT	071
20150130	JOR	JPN	070
20150130	JOR	JPN	070
20150130	JOR	JPN	070
20150130	JOR	JPN	072
20150130	JOR	USA	070
20150130	JOR	USA	073
20150130	JOR	USA	073
20150130	JOR	USA	073
20150130	JOR	USA	073
20150130	JOR	USA	070
20150130	JOR	JPN	070
20150130	JOR	JPN	072
20150130	JOR	SAU	073
20150130	JOR	JOR	070
20150130	JPN	CAN	070
20150130	JPN	JPN	070
20150130	JPN	SYR	073
20150130	JPN	SYR	073
20150130	JPN	SYR	073
20150130	JPN	USA	071
20150130	JPN	USA	071
20150130	JPN	USA	073
20150130	JPN	JPN	070
20150130	KAZ	RUS	071
20150130	KEN	AFR	072
20150130	KEN	KEN	073
20150130	KEN	SAU	070
20150130	KEN	SAU	070
20150130	KEN	USA	073
20150130	KEN	USA	073
20150130	KEN	SAU	070
20150130	KEN	SAU	070
20150130	KGZ	KGZ	071
20150130	KOR	PRK	070
20150130	KOR	PRK	070
20150130	KOR	KOR	070
20150130	KOR	KOR	070
20150130	KOR	PRK	070
20150130	KOR	PRK	070
20150130	KOR	PRK	070
20150130	KWT	FRA	070
20150130	KWT	FRA	070
20150130	KWT	SYR	075
20150130	KWT	SYR	075
20150130	KWT	SYR	075
20150130	KWT	USA	070
20150130	LBN	EUR	071
20150130	LBN	ISR	074
20150130	LBN	ISR	074
20150130	LBN	SYR	075
20150130	LBN	SYR	075
20150130	LBN	SYR	075
20150130	LBN	SYR	075
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	073
20150130	LBN	USA	071
20150130	LBN	USA	071
20150130	LBR	AFR	070
20150130	LBR	AFR	070
20150130	LBR	AFR	070
20150130	LKA	GBR	070
20150130	LTU	RUS	071
20150130	LTU	RUS	071
20150130	LUX	EUR	070
20150130	LUX	USA	070
20150130	LUX	GRC	071
20150130	MAR	ESP	070
20150130	MCO	USA	071
20150130	MCO	USA	071
20150130	MCO	USA	071
20150130	MDV	AUS	073
20150130	MDV	AUS	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	073
20150130	MEX	USA	075
20150130	MEX	USA	075
20150130	MEX	MEX	073
20150130	MEX	MEX	073
20150130	MEX	MEX	073
20150130	MEX	MEX	073
20150130	MEX	MEX	073
20150130	MEX	USA	073
20150130	MKD	ALB	071
20150130	MLI	AFR	070
20150130	MLI	AFR	070
20150130	MLI	AFR	070
20150130	MLT	ATG	070
20150130	MLT	ATG	070
20150130	MLT	AUT	070
20150130	MLT	AUT	070
20150130	MLT	CYP	070
20150130	MLT	CYP	070
20150130	MLT	EUR	070
20150130	GBR	GHA	070
20150130	JPN	USA	071
20150130	JPN	USA	071
20150130	KOR	AFR	070
20150130	SEA	IDN	071
20150130	USA	GBR	071
20150130	USA	GBR	071
20150130	USA	IRQ	072
20150130	USA	IRQ	072
20150130	USA	JOR	071
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	075
20150130	USA	USA	070
20150130	USA	USA	071
20150130	MOZ	EUR	071
20150130	MWI	AFR	072
20150130	MWI	CHN	071
20150130	MWI	GBR	072
20150130	MYS	CHN	070
20150130	MYS	CHN	070
20150130	MYS	MYS	070
20150130	MYS	USA	071
20150130	MYS	USA	071
20150130	MYS	MYS	071
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	ETH	070
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	072
20150130	NGA	NER	073
20150130	NGA	NER	073
20150130	NGA	NGA	072
20150130	NGA	TCD	070
20150130	NGA	TCD	070
20150130	NGA	NGA	071
20150130	USA	USA	071
20150130	USA	USA	070
20150130	USA	USA	071
20150130	NLD	ISR	070
20150130	NLD	PSE	070
20150130	NLD	ISR	070
20150130	NLD	PSE	070
20150130	NMR	RUS	070
20150130	NMR	RUS	070
20150130	NMR	RUS	070
20150130	NMR	USA	070
20150130	NOR	CAN	070
20150130	NOR	GBR	070
20150130	NOR	GBR	070
20150130	NOR	EUR	070
20150130	NOR	NLD	070
20150130	NOR	NLD	070
20150130	NOR	NLD	070
20150130	NOR	NLD	070
20150130	NOR	USA	070
20150130	NOR	USA	070
20150130	NOR	ITA	071
20150130	NPL	IND	073
20150130	PAK	AFG	073
20150130	PAK	AFG	073
20150130	PAK	AFG	073
20150130	PAK	AFG	073
20150130	PAK	AFG	073
20150130	PAK	AFG	073
20150130	PAK	AFG	073
20150130	PAK	AFG	070
20150130	PAK	AFG	070
20150130	PAK	AFG	070
20150130	PAK	AFG	070
20150130	PAK	AFG	070
20150130	PAK	AFG	070
20150130	PAK	IDN	070
20150130	PAK	PAK	071
20150130	PAK	PAK	071
20150130	PAK	USA	071
20150130	PAK	USA	071
20150130	PAK	USA	071
20150130	PAK	USA	071
20150130	PAK	ARE	071
20150130	PAK	ARE	071
20150130	PAK	IRN	071
20150130	PAK	IRN	071
20150130	PAK	IRN	071
20150130	PAK	KWT	071
20150130	PAK	KWT	071
20150130	PAK	QAT	071
20150130	PAK	QAT	071
20150130	PAK	SAU	071
20150130	PAK	PAK	073
20150130	PAK	PAK	073
20150130	PAK	PAK	070
20150130	PAK	USA	071
20150130	PAK	USA	071
20150130	PHL	HTI	074
20150130	PHL	HTI	074
20150130	PHL	USA	070
20150130	PHL	PHL	070
20150130	PHL	PHL	070
20150130	PHL	USA	073
20150130	PHL	USA	073
20150130	PHL	USA	073
20150130	POL	MYS	071
20150130	POL	MYS	071
20150130	POL	MYS	071
20150130	POL	MYS	071
20150130	PSE	ISR	071
20150130	PSE	PSE	071
20150130	QAT	DEU	070
20150130	QAT	DEU	070
20150130	QAT	DEU	070
20150130	QAT	GBR	071
20150130	QAT	QAT	071
20150130	QAT	SYR	071
20150130	QAT	SYR	071
20150130	QAT	SYR	071
20150130	QAT	SYR	071
20150130	QAT	CAN	071
20150130	QAT	CAN	071
20150130	QAT	GBR	071
20150130	QAT	QAT	071
20150130	RUS	ARM	070
20150130	RUS	ARM	070
20150130	RUS	BLR	070
20150130	RUS	BLR	070
20150130	RUS	BLR	070
20150130	RUS	BLR	070
20150130	RUS	BLR	070
20150130	RUS	BLR	070
20150130	RUS	BLR	071
20150130	RUS	BLR	071
20150130	RUS	CHN	071
20150130	RUS	CHN	071
20150130	RUS	CHN	071
20150130	RUS	CHN	071
20150130	RUS	IRL	073
20150130	RUS	IRL	073
20150130	RUS	IRN	070
20150130	RUS	IRN	070
20150130	RUS	RUS	072
20150130	RUS	RUS	072
20150130	RUS	RUS	072
20150130	RUS	RUS	072
20150130	RUS	RUS	072
20150130	RUS	RUS	072
20150130	RUS	RUS	072
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	072
20150130	RUS	UKR	072
20150130	RUS	UKR	073
20150130	RUS	USA	073
20150130	RUS	USA	072
20150130	RUS	VEN	071
20150130	RUS	USA	073
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	071
20150130	RUS	UKR	072
20150130	RWA	COG	074
20150130	RWA	COG	074
20150130	SAU	ETH	070
20150130	SAU	RUS	071
20150130	SAU	RUS	071
20150130	SAU	RUS	071
20150130	SAU	RUS	071
20150130	SAU	SAU	071
20150130	SAU	SYR	071
20150130	SAU	SYR	071
20150130	SAU	SYR	071
20150130	SAU	SYR	071
20150130	SAU	ARE	070
20150130	SAU	ETH	070
20150130	SAU	ETH	070
20150130	SAU	USA	071
20150130	SRB	UKR	070
20150130	SEA	SEA	070
20150130	SEN	NGA	070
20150130	SEN	NGA	070
20150130	SGP	FRA	070
20150130	SGP	FRA	070
20150130	SLE	AFR	070
20150130	SLE	AFR	070
20150130	SLE	AFR	070
20150130	SLE	SLE	070
20150130	SLV	USA	070
20150130	SLV	USA	070
20150130	SLV	USA	070
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
20150130	SSD	SDN	073
