20130723	USA	EUR	070
20130723	USA	EUR	071
20130723	USA	EUR	070
20130723	USA	GBR	070
20130723	USA	GBR	070
20130723	USA	GBR	071
20130723	USA	GRC	071
20130723	USA	GRC	071
20130723	USA	GUY	071
20130723	USA	GUY	071
20130723	USA	IRL	071
20130723	USA	IRL	071
20130723	USA	IRL	071
20130723	USA	IRL	073
20130723	USA	IRL	073
20130723	USA	IRL	071
20130723	USA	IRL	071
20130723	USA	IRN	071
20130723	USA	IRN	071
20130723	USA	IRN	071
20130723	USA	IRN	071
20130723	USA	IRN	071
20130723	USA	ISR	071
20130723	USA	ISR	071
20130723	USA	ISR	075
20130723	USA	ISR	075
20130723	USA	ISR	075
20130723	USA	JPN	071
20130723	USA	KOR	072
20130723	USA	KOR	072
20130723	USA	LCA	071
20130723	USA	LCA	071
20130723	USA	LCA	071
20130723	USA	MDV	073
20130723	USA	MEX	070
20130723	USA	MEX	075
20130723	USA	USA	070
20130723	USA	USA	073
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	NIC	071
20130723	USA	NLD	071
20130723	USA	NLD	071
20130723	USA	NLD	071
20130723	USA	POL	072
20130723	USA	POL	072
20130723	USA	POL	073
20130723	USA	PRT	071
20130723	USA	PRT	071
20130723	USA	PRT	072
20130723	USA	PSE	071
20130723	USA	RUS	071
20130723	USA	RUS	071
20130723	USA	RUS	075
20130723	USA	RUS	075
20130723	USA	SAU	071
20130723	USA	SAU	071
20130723	USA	SAU	071
20130723	USA	SAU	071
20130723	USA	SGP	070
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	SYR	073
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	SYR	071
20130723	USA	SYR	071
20130723	USA	SYR	071
20130723	USA	SYR	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	072
20130723	USA	USA	073
20130723	USA	USA	071
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	072
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	072
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	EUR	071
20130723	USA	ISR	071
20130723	USA	ISR	071
20130723	USA	ISR	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	072
20130723	USA	USA	073
20130723	USA	USA	071
20130723	USA	YEM	071
20130723	USA	YEM	071
