20130904	PSE	ISR	070
20130904	PSE	ISR	070
20130904	PSE	ISR	070
20130904	PSE	ISR	071
20130904	PSE	ISR	071
20130904	PSE	ISR	071
20130904	PSE	ISR	070
20130904	PSE	ISR	070
20130904	PSE	ISR	070
20130904	PSE	PSE	070
20130904	QAT	ARE	071
20130904	QAT	ARE	071
20130904	QAT	ARE	071
20130904	QAT	LBN	071
20130904	QAT	LBN	071
20130904	QAT	LBN	071
20130904	QAT	QAT	071
20130904	QAT	QAT	071
20130904	QAT	QAT	071
20130904	QAT	SYR	071
20130904	QAT	USA	070
20130904	RUS	CHN	070
20130904	RUS	CHN	070
20130904	RUS	DEU	075
20130904	RUS	DEU	075
20130904	RUS	EGY	071
20130904	RUS	WST	071
20130904	RUS	IRN	071
20130904	RUS	IRN	071
20130904	RUS	NIC	073
20130904	RUS	NIC	073
20130904	RUS	NIC	073
20130904	RUS	NIC	073
20130904	RUS	PRK	070
20130904	RUS	PRK	070
20130904	RUS	PRK	070
20130904	RUS	RUS	070
20130904	RUS	RUS	070
20130904	RUS	RUS	071
20130904	RUS	RUS	075
20130904	RUS	RUS	073
20130904	RUS	RUS	073
20130904	RUS	SYR	070
20130904	RUS	SYR	070
20130904	RUS	SYR	070
20130904	RUS	SYR	070
20130904	RUS	SYR	071
20130904	RUS	SYR	071
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	075
20130904	RUS	SYR	075
20130904	RUS	SYR	075
20130904	RUS	SYR	070
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	USA	070
20130904	RUS	USA	070
20130904	RUS	USA	070
20130904	RUS	USA	072
20130904	RUS	USA	072
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	070
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	075
20130904	RUS	USA	070
20130904	RUS	CHN	070
20130904	RUS	ARM	070
20130904	RUS	DEU	075
20130904	RUS	DEU	075
20130904	RUS	DEU	075
20130904	RUS	RUS	070
20130904	RUS	RUS	075
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RUS	SYR	072
20130904	RWA	USA	071
20130904	SAU	KWT	070
20130904	SAU	KWT	070
20130904	SAU	KWT	070
20130904	SAU	PAK	071
20130904	SAU	PAK	071
20130904	SAU	PAK	071
20130904	SAU	QAT	071
20130904	SAU	QAT	071
20130904	SAU	RUS	070
20130904	SAU	SAU	070
20130904	SAU	SLE	070
20130904	SAU	SLE	070
20130904	SAU	SLE	070
20130904	SAU	SLE	071
20130904	SAU	SLE	071
20130904	SAU	SYR	071
20130904	SAU	TUR	070
20130904	SAU	TUR	070
20130904	SAU	TUR	070
20130904	SAU	USA	070
20130904	SAU	USA	070
20130904	SAU	USA	071
20130904	SAU	USA	071
20130904	SAU	YEM	070
20130904	SAU	YEM	070
20130904	SAU	JOR	070
20130904	SAU	JOR	070
20130904	SAU	JOR	070
20130904	SAU	JOR	070
20130904	SAU	SAU	070
20130904	SAU	SAU	070
20130904	SAU	SAU	070
20130904	SAU	SAU	070
20130904	SAU	SLE	071
20130904	SGP	MLT	071
20130904	SGP	MYS	071
20130904	SGP	SGP	071
20130904	SLV	USA	071
20130904	SOM	SOM	072
20130904	SOM	USA	072
20130904	SOM	USA	072
20130904	SWE	AFG	070
20130904	SWE	DEU	071
20130904	SWE	DEU	071
20130904	SWE	EUR	071
20130904	SWE	HUN	070
20130904	SWE	HUN	070
20130904	SWE	HUN	070
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	073
20130904	SWE	SYR	073
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	SYR	075
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SWE	USA	070
20130904	SYR	IRN	071
20130904	SYR	IRQ	075
20130904	SYR	IRQ	075
20130904	SYR	IRQ	075
20130904	SYR	ISR	070
20130904	SYR	ISR	070
20130904	SYR	ITA	070
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	JOR	073
20130904	SYR	LBN	071
20130904	SYR	LBN	071
20130904	SYR	LBN	071
20130904	SYR	RUS	071
20130904	SYR	RUS	071
20130904	SYR	SWE	073
20130904	SYR	SYR	070
20130904	SYR	SYR	075
20130904	SYR	SYR	075
20130904	SYR	SYR	075
20130904	SYR	SYR	075
20130904	SYR	USA	070
20130904	SYR	USA	072
20130904	SYR	USA	072
20130904	SYR	USA	072
20130904	SYR	USA	073
20130904	SYR	BGR	073
20130904	SYR	ISR	070
20130904	SYR	USA	072
20130904	SYR	BGR	071
20130904	SYR	ITA	070
20130904	SYR	JOR	073
20130904	THA	THA	072
20130904	TKM	SYR	073
20130904	TTO	SAU	071
20130904	TTO	SAU	071
20130904	TUR	AFR	070
20130904	TUR	AUS	073
20130904	TUR	AUS	073
20130904	TUR	KWT	070
20130904	TUR	SYR	073
20130904	TUR	SYR	075
20130904	TUR	SYR	075
20130904	TUR	SYR	073
20130904	TUR	SYR	073
20130904	TUR	SYR	075
20130904	TUR	SYR	075
20130904	TWN	SYR	071
20130904	TZA	GBR	073
20130904	UGA	AFR	070
20130904	UGA	AFR	070
20130904	UGA	AFR	070
20130904	UGA	AFR	071
20130904	UKR	UKR	072
20130904	UKR	UKR	072
20130904	USA	AFG	070
20130904	USA	AFG	070
20130904	USA	AFG	070
20130904	USA	AFG	071
20130904	USA	AFG	071
20130904	USA	AFG	071
20130904	USA	AFG	072
20130904	USA	AFG	072
20130904	USA	AFR	070
20130904	USA	AFR	071
20130904	USA	AFR	071
20130904	USA	AFR	073
20130904	USA	CAN	070
20130904	USA	CAN	071
20130904	USA	CAN	071
20130904	USA	CAN	071
20130904	USA	CAN	071
20130904	USA	CHN	071
20130904	USA	CHN	072
20130904	USA	COL	075
20130904	USA	COL	075
20130904	USA	CUB	072
20130904	USA	CUB	072
20130904	USA	CUB	072
20130904	USA	CUB	072
20130904	USA	CUB	072
20130904	USA	DEU	070
20130904	USA	DEU	070
20130904	USA	DEU	070
20130904	USA	DEU	071
20130904	USA	DEU	071
20130904	USA	DEU	071
20130904	USA	DOM	072
20130904	USA	DOM	072
20130904	USA	DOM	072
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	070
20130904	USA	EGY	073
20130904	USA	EGY	073
20130904	USA	ESP	071
20130904	USA	ESP	071
20130904	USA	ESP	071
20130904	USA	EST	070
20130904	USA	EUR	071
20130904	USA	FRA	071
20130904	USA	GBR	071
20130904	USA	GRC	071
20130904	USA	GRC	071
20130904	USA	GRC	071
20130904	USA	GRC	071
20130904	USA	HND	071
20130904	USA	HND	072
20130904	USA	HND	072
20130904	USA	HND	072
20130904	USA	HND	071
20130904	USA	HTI	072
20130904	USA	HTI	072
20130904	USA	MEA	071
20130904	USA	MEA	071
20130904	USA	IRL	071
20130904	USA	IRL	071
20130904	USA	IRN	070
20130904	USA	IRN	070
20130904	USA	IRN	073
20130904	USA	IRN	073
20130904	USA	ISR	070
20130904	USA	ISR	070
20130904	USA	ISR	071
20130904	USA	ISR	071
20130904	USA	ITA	073
20130904	USA	ITA	073
20130904	USA	ITA	073
20130904	USA	ITA	075
20130904	USA	JOR	070
20130904	USA	JOR	070
20130904	USA	JOR	071
