20141223	FRA	JPN	071
20141223	FRA	LBN	071
20141223	FRA	LBN	072
20141223	FRA	MLI	072
20141223	FRA	MLI	072
20141223	FRA	USA	070
20141223	FRA	FRA	072
20141223	FRA	FRA	073
20141223	GBR	AFR	071
20141223	GBR	BHR	070
20141223	GBR	BHR	070
20141223	GBR	CAN	070
20141223	GBR	CHN	071
20141223	GBR	EUR	071
20141223	GBR	GBR	071
20141223	GBR	IRL	071
20141223	GBR	IRL	071
20141223	GBR	IRL	071
20141223	GBR	ISR	070
20141223	GBR	ISR	072
20141223	GBR	ITA	072
20141223	GBR	NOR	070
20141223	GBR	NOR	070
20141223	GBR	NOR	070
20141223	GBR	PAK	075
20141223	GBR	PAK	075
20141223	GBR	PAK	075
20141223	GBR	PAK	075
20141223	GBR	QAT	070
20141223	GBR	SLE	072
20141223	GBR	SLE	072
20141223	GBR	USA	070
20141223	GBR	USA	070
20141223	GBR	USA	071
20141223	GBR	USA	071
20141223	GBR	USA	072
20141223	GBR	USA	072
20141223	GBR	USA	075
20141223	GBR	GBR	071
20141223	GBR	GBR	071
20141223	GBR	IRL	071
20141223	GHA	GHA	070
20141223	GRC	EUR	073
20141223	HND	USA	075
20141223	HND	USA	075
20141223	IDN	USA	070
20141223	IDN	USA	070
20141223	IDN	USA	071
20141223	EUR	EUR	071
20141223	EUR	GMB	071
20141223	EUR	GRC	071
20141223	WST	DEU	070
20141223	WST	NLD	070
20141223	WST	NLD	070
20141223	WST	NOR	070
20141223	WST	NOR	070
20141223	IND	CHE	073
20141223	IND	CHE	073
20141223	IND	CHE	073
20141223	IND	SGP	071
20141223	IND	USA	072
20141223	IND	USA	072
20141223	IND	JPN	070
20141223	IRL	GBR	071
20141223	IRL	GBR	071
20141223	IRL	IRL	070
20141223	IRL	SSD	070
20141223	IRL	SSD	070
20141223	IRL	SSD	071
20141223	IRL	SSD	071
20141223	IRL	UKR	070
20141223	IRN	IRN	070
20141223	IRN	IRQ	072
20141223	IRN	IRQ	072
20141223	IRN	ISR	070
20141223	IRN	SYR	072
20141223	IRN	SYR	072
20141223	IRN	SYR	072
20141223	IRN	SYR	072
20141223	IRN	SYR	072
20141223	IRQ	CAN	070
20141223	IRQ	CAN	070
20141223	IRQ	IRQ	072
20141223	IRQ	IRQ	072
20141223	IRQ	IRQ	072
20141223	IRQ	ITA	070
20141223	IRQ	ITA	070
20141223	IRQ	SYR	072
20141223	IRQ	SYR	072
20141223	IRQ	SYR	070
20141223	IRQ	TUR	075
20141223	ISR	BEL	071
20141223	ISR	BEL	071
20141223	ISR	CHE	071
20141223	ISR	CHE	071
20141223	ISR	ETH	073
20141223	ISR	ETH	073
20141223	ISR	ETH	073
20141223	ISR	ETH	075
20141223	ISR	EUR	071
20141223	ISR	ISR	075
20141223	ISR	ISR	071
20141223	ISR	PSE	070
20141223	ISR	PSE	071
20141223	ISR	PSE	073
20141223	ISR	TUN	075
20141223	ISR	TUN	075
20141223	ISR	UKR	075
20141223	ISR	UKR	075
20141223	ISR	UKR	075
20141223	ISR	USA	071
20141223	ISR	USA	071
20141223	ISR	USA	071
20141223	ISR	USA	071
20141223	ISR	USA	071
20141223	ISR	USA	071
20141223	ISR	USA	071
20141223	ISR	CHE	071
20141223	ISR	EGY	070
20141223	ISR	EGY	070
20141223	ISR	EGY	070
20141223	ISR	EGY	070
20141223	ISR	EUR	071
20141223	ITA	ETH	075
20141223	ITA	ETH	075
20141223	ITA	ITA	071
20141223	ITA	ITA	070
20141223	ITA	USA	071
20141223	ITA	USA	073
20141223	JOR	USA	073
20141223	JPN	FRA	073
20141223	JPN	JPN	070
20141223	JPN	JPN	070
20141223	JPN	JPN	070
20141223	JPN	JPN	070
20141223	JPN	USA	071
20141223	JPN	USA	071
20141223	JPN	USA	071
20141223	JPN	USA	071
20141223	JPN	USA	072
20141223	KAZ	UKR	070
20141223	KEN	UGA	070
20141223	KEN	UGA	070
20141223	KEN	UGA	070
20141223	KEN	UGA	070
20141223	KEN	USA	070
20141223	KHM	EUR	071
20141223	KHM	KHM	071
20141223	KHM	KHM	071
20141223	KOR	CUB	070
20141223	KOR	CUB	070
20141223	KOR	PHL	072
20141223	KOR	PHL	072
20141223	KOR	PHL	072
20141223	KOR	PHL	072
20141223	KOR	USA	070
20141223	KOR	USA	071
20141223	KOR	USA	071
20141223	KOR	USA	071
20141223	KOR	USA	071
20141223	KOR	KOR	070
20141223	KOR	KOR	070
20141223	KOR	KOR	070
20141223	KOR	KOR	070
20141223	KOR	PHL	072
20141223	KOR	PHL	072
20141223	KWT	EGY	071
20141223	KWT	EGY	071
20141223	KWT	MDV	071
20141223	LBN	CAN	073
20141223	LBN	CAN	073
20141223	LBN	CAN	073
20141223	LBN	LBN	071
20141223	LBN	LBN	072
20141223	LBN	SYR	075
20141223	LBN	SYR	075
20141223	LBY	EGY	071
20141223	LBY	EGY	071
20141223	LBY	EGY	071
20141223	LBY	TUR	071
20141223	LKA	LKA	073
20141223	LKA	LKA	073
20141223	LUX	ITA	073
20141223	MAR	EGY	071
20141223	MAR	EGY	071
20141223	MCO	AFR	070
20141223	MEX	CYP	074
20141223	MEX	CYP	074
20141223	MEX	CYP	074
20141223	MEX	HTI	074
20141223	MEX	HTI	074
20141223	MEX	MEX	070
20141223	MEX	SSD	074
20141223	MEX	SSD	074
20141223	MEX	SSD	074
20141223	MEX	SYR	074
20141223	MEX	SYR	074
20141223	MEX	SYR	074
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	USA	070
20141223	MEX	CYP	074
20141223	MEX	CYP	074
20141223	MEX	CYP	074
20141223	MEX	HTI	074
20141223	MEX	HTI	074
20141223	MEX	HTI	074
20141223	MEX	SSD	074
20141223	MEX	SSD	074
20141223	MEX	SSD	074
20141223	MEX	SYR	074
20141223	MEX	SYR	074
20141223	MEX	SYR	074
20141223	MMR	MMR	071
20141223	MMR	MMR	072
20141223	MMR	CHN	072
20141223	MMR	CHN	072
20141223	MMR	CHN	072
20141223	MMR	CHN	072
20141223	MMR	MMR	072
20141223	CHE	CHE	071
20141223	CHE	CHE	071
20141223	JPN	THA	070
20141223	JPN	USA	071
20141223	KOR	CAN	070
20141223	USA	GBR	070
20141223	USA	GBR	071
20141223	USA	GBR	071
20141223	USA	IRQ	073
20141223	USA	USA	070
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	072
20141223	USA	USA	070
20141223	USA	GBR	071
20141223	USA	IRL	071
20141223	MYS	CYM	071
20141223	MYS	CYM	071
20141223	MYS	CYM	071
20141223	MYS	CYM	071
20141223	MYS	MYS	073
20141223	MYS	MYS	073
20141223	MYS	MYS	073
20141223	MYS	PHL	071
20141223	MYS	SAU	073
20141223	MYS	USA	075
20141223	MYS	MYS	071
20141223	MYS	MYS	073
20141223	MYS	MYS	073
20141223	NGA	JPN	071
20141223	NGA	NGA	071
20141223	NGA	NGA	071
20141223	NGA	NGA	071
20141223	NGA	PRK	072
20141223	NGA	PRK	072
20141223	NGA	USA	071
20141223	NGA	NGA	071
20141223	NGA	NGA	071
20141223	NGA	NGA	071
20141223	USA	LBR	070
20141223	USA	LBR	070
20141223	USA	SLE	070
20141223	USA	IND	070
20141223	USA	USA	070
20141223	NIC	CHN	071
20141223	NIC	CHN	071
20141223	NIC	UGA	070
20141223	NIC	UGA	070
20141223	NIC	UGA	070
20141223	NLD	NLD	070
20141223	NMR	USA	070
20141223	PAK	PAK	071
20141223	PAK	PAK	071
20141223	PAK	CHN	071
20141223	PAK	CHN	071
20141223	PAK	PAK	071
20141223	PAK	PAK	071
20141223	PAK	PAK	071
20141223	PHL	ESP	072
20141223	PHL	ESP	072
20141223	PHL	ESP	072
20141223	PHL	MYS	071
20141223	POL	EUR	071
20141223	PRK	ARM	072
20141223	PRK	PRK	073
20141223	PRT	PRT	071
20141223	PSE	EGY	070
20141223	PSE	EGY	070
20141223	PSE	EGY	070
20141223	PSE	EGY	070
20141223	PSE	ISR	071
20141223	PSE	ISR	072
20141223	PSE	ISR	073
20141223	PSE	EGY	070
20141223	PSE	EGY	070
20141223	PSE	ISR	070
