19790306	VNM	CHN	070
19790307	CUB	AGO	072
19790307	CUB	AGO	072
19790307	EGY	IRN	072
19790307	IRN	USA	071
19790307	POL	POL	070
19790307	RUS	VNM	073
19790307	VNM	CHN	072
19790307	VNM	CHN	072
19790307	VNM	CHN	072
19790307	VNM	CHN	072
19790309	AUT	EUR	070
19790309	AUT	EUR	070
19790309	RUS	CHN	072
19790309	SVK	AUT	070
19790309	SVK	AUT	070
19790310	CUB	VNM	070
19790310	CUB	VNM	070
19790310	JPN	PAK	071
19790310	JPN	PAK	071
19790310	RUS	BGR	070
19790310	RUS	ZMB	070
19790310	RUS	ZMB	070
19790310	SVK	IRN	070
19790310	ZMB	BGR	070
19790310	ZMB	BGR	070
19790310	ZMB	ZMB	070
19790310	ZMB	ZMB	070
19790311	CUB	AFR	072
19790311	JPN	IDN	071
19790312	CHN	THA	070
19790312	RUS	TCD	073
19790312	RUS	TCD	073
19790312	RUS	TCD	073
19790312	USA	USA	070
19790313	GBR	USA	073
19790313	GBR	USA	073
19790313	USA	GBR	073
19790313	USA	GBR	073
19790313	USA	YEM	072
19790314	CHN	CHN	070
19790314	CHN	CHN	070
19790314	EGY	OMN	074
19790314	EGY	YEM	072
19790314	FRA	CHN	073
19790315	AUS	MYS	072
19790315	AUS	MYS	072
19790315	AUS	MYS	072
19790315	CHN	CHN	073
19790315	CHN	CHN	073
19790315	FRA	MDG	071
19790315	ISR	ISR	072
19790315	ISR	ISR	072
19790315	KHM	KHM	070
19790315	USA	IRN	072
19790315	USA	IRN	072
19790315	FRA	MDG	071
19790316	AUT	GBR	070
19790316	CHN	LAO	072
19790316	DNK	LKA	070
19790316	FRA	FRA	070
19790316	GRC	GRC	070
19790316	KHM	KHM	070
19790316	SAU	SAU	070
19790316	YEM	CUB	070
19790316	YEM	CUB	070
19790316	YEM	CUB	070
19790317	EGY	USA	072
19790317	EGY	USA	072
19790317	RUS	CUB	070
19790317	UGA	LBY	070
19790317	UGA	LBY	070
19790317	USA	ISR	072
19790317	USA	USA	071
19790317	USA	USA	071
19790318	CHN	VNM	070
19790318	CHN	VNM	070
19790318	SAU	EGY	071
19790318	SAU	EGY	071
19790318	SAU	EGY	071
19790318	SAU	EGY	071
19790318	TZA	UGA	072
19790318	UGA	TZA	072
19790318	UGA	TZA	072
19790318	VNM	KHM	072
19790318	VNM	KHM	072
19790318	ZAF	USA	071
19790319	AFG	IRN	072
19790319	AFG	IRN	072
