20151207	RUS	PAK	070
20151207	RUS	PAK	070
20151207	SDN	SYR	073
20151207	SDN	SYR	073
20151207	SDN	SYR	073
20151207	TUR	IRQ	070
20151207	TUR	TUR	072
20151207	CAN	TUR	073
20151207	CAN	TUR	073
20151207	CAN	TUR	073
20151207	CAN	TUR	073
20151207	CHN	AUS	071
20151207	CHN	AUS	071
20151207	GBR	SYR	070
20151207	GBR	SYR	070
20151207	EUR	EUR	070
20151207	EUR	LKA	070
20151207	NGA	NGA	070
20151207	PSE	ISR	072
20151207	RUS	IRN	071
20151207	RUS	IRN	071
20151207	RUS	IRN	071
20151207	SVK	SRB	070
20151207	SVK	SRB	070
20151207	USA	FRA	070
20151207	USA	FRA	070
20151207	CAN	CAN	070
20151207	CHN	AFR	070
20151207	CHN	AFR	071
20151207	FRA	USA	075
20151207	GRC	GRC	072
20151207	USA	USA	071
20151207	TUR	IRQ	070
20151207	TUR	IRQ	070
20151207	USA	SYR	075
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	EUR	FRA	073
20151207	FRA	AFR	071
20151207	WST	SYR	072
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	MYS	MYS	070
20151207	NOR	MCO	070
20151207	RUS	KAZ	071
20151207	SAU	SAU	071
20151207	SGP	VNM	070
20151207	TUR	IRQ	070
20151207	TUR	IRQ	070
20151207	TUR	IRQ	072
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	CHE	SYR	073
20151207	CHE	SYR	073
20151207	CHE	SYR	073
20151207	DEU	SYR	073
20151207	DEU	SYR	073
20151207	DEU	SYR	073
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	JOR	ARE	073
20151207	RUS	SYR	072
20151207	RUS	SYR	072
20151207	RUS	SYR	072
20151207	RUS	SYR	072
20151207	RUS	SYR	072
20151207	SOM	ETH	075
20151207	SOM	GBR	071
20151207	SOM	GBR	071
20151207	SOM	NOR	071
20151207	SWE	SYR	073
20151207	SWE	SYR	073
20151207	SWE	SYR	073
20151207	SYR	TUR	072
20151207	SYR	TUR	072
20151207	TUR	IRQ	072
20151207	USA	USA	070
20151207	CHE	SYR	073
20151207	CHN	CHN	070
20151207	CHN	KEN	071
20151207	CHN	KEN	071
20151207	DEU	SYR	073
20151207	EUR	EUR	070
20151207	LVA	EUR	071
20151207	LVA	EUR	071
20151207	SWE	SYR	073
20151207	TKM	SYR	071
20151207	TKM	SYR	071
20151207	AFR	USA	071
20151207	CHE	USA	071
20151207	CHE	USA	071
20151207	CHE	USA	071
20151207	CHN	AFR	071
20151207	LUX	EUR	071
20151207	LUX	USA	071
20151207	USA	EUR	071
20151207	RWA	UGA	071
20151207	RWA	UGA	071
20151207	RWA	UGA	071
20151207	UGA	RWA	071
20151207	UGA	RWA	071
20151207	UGA	RWA	071
20151207	USA	JPN	070
20151207	USA	USA	071
20151207	USA	ETH	070
20151207	ZAF	USA	071
20151207	CHN	ZWE	071
20151207	CHN	ZWE	071
20151207	CHN	ZWE	071
20151207	IRL	IRL	070
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	KHM	PRK	071
20151207	PSE	UKR	070
20151207	USA	IND	071
20151207	USA	IND	071
20151207	ZWE	CHN	070
20151207	ZWE	CHN	070
20151206	PSE	ISR	071
20151207	CHE	ARM	071
20151207	ESP	ESP	071
20151207	FRA	GBR	070
20151207	FRA	GBR	070
20151207	FRA	GBR	070
20151207	FRA	GBR	071
20151207	FRA	GBR	071
20151207	GBR	COG	071
20151207	GBR	UGA	071
20151207	GBR	UGA	071
20151207	GBR	UGA	071
20151207	GBR	UGA	071
20151207	IRN	ISR	070
20151207	IRN	ISR	070
20151207	NGA	ZAF	070
20151207	NGA	ZAF	070
20151207	NGA	AFR	070
20151207	NGA	ZAF	070
20151207	TUR	IRQ	072
20151207	UGA	GBR	071
20151207	USA	USA	073
20151207	USA	USA	070
20151207	VNM	USA	070
20151207	VNM	USA	070
20151107	WST	SYR	072
20151207	AFG	SRB	072
20151207	AFG	SRB	072
20151207	CAN	USA	070
20151207	CAN	USA	070
20151207	DEU	USA	070
20151207	DEU	USA	070
20151207	ESP	AFR	071
20151207	ESP	ZAF	071
20151207	GBR	AFR	071
20151207	GBR	ZAF	071
20151207	GRD	SRB	072
20151207	GRD	SRB	072
20151207	EUR	MLT	071
20151207	WST	SYR	072
20151207	IRQ	SRB	072
20151207	IRQ	SRB	072
20151207	TUR	GRC	073
20151207	TUR	GRC	073
20151207	USA	IRL	075
20151207	USA	IRL	075
20151207	USA	JOR	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	DEU	SYR	073
20151207	GBR	GBR	071
20151207	GBR	GBR	071
20151207	IDN	IDN	072
20151207	IDN	IDN	071
20151207	IND	ARE	070
20151207	IND	ARE	070
20151207	MDA	WST	074
20151207	MDA	WST	074
20151207	MDA	WST	074
20151207	USA	EUR	071
20151207	USA	EUR	071
20151207	RUS	RUS	070
20151207	RUS	RUS	070
20151207	RUS	RUS	073
20151207	RUS	RUS	073
20151207	RUS	RUS	070
20151207	RUS	RUS	070
20151207	SYR	RUS	073
20151207	SYR	RUS	073
20151207	SYR	RUS	073
20151207	USA	USA	071
20151207	USA	IRQ	072
20151207	USA	USA	071
20151207	CAF	CAF	075
20151207	CHE	CHE	071
20151207	CHE	CHE	071
20151207	ETH	ETH	070
20151207	FRA	CAF	071
20151207	FRA	CAF	071
20151207	GBR	USA	071
20151207	IRL	IRL	073
20151207	IRN	IRQ	071
20151207	IRN	SYR	071
20151207	IRN	SYR	071
20151207	IRQ	SYR	072
20151207	IRQ	SYR	072
20151207	IRQ	TUR	072
20151207	IRQ	TUR	072
20151207	ITA	ITA	073
20151207	ITA	LBY	073
20151207	CHN	ETH	071
20151207	CHN	ETH	071
20151207	CHN	ETH	071
20151207	USA	GBR	071
20151207	MWI	ZMB	070
20151207	USA	FRA	075
20151207	USA	FRA	075
20151207	USA	CHE	071
20151207	ZWE	ZMB	070
20151207	ZWE	ZMB	070
20151207	CHN	CHL	070
20151207	FIN	FIN	071
20151207	WST	UKR	071
20151207	USA	CUB	073
20151207	USA	DEU	071
20151207	USA	DEU	071
20151207	USA	USA	073
20151207	USA	USA	073
20151207	USA	IRQ	070
20151207	USA	JPN	070
20151207	AUS	USA	071
20151207	GBR	GBR	073
20151207	GBR	GBR	070
20151207	IND	DNK	071
20151207	IND	DNK	071
20151207	IND	DNK	071
20151207	IRQ	TUR	072
20151207	ITA	USA	073
20151207	ITA	USA	073
20151207	ITA	USA	073
20151207	KEN	KEN	070
20151207	KEN	KEN	071
20151207	PHL	PHL	070
20151207	SYR	SYR	075
20151207	USA	USA	071
20151207	USA	CHN	070
20151207	YEM	GBR	071
20151207	AFG	GBR	070
20151207	AFG	GBR	070
20151207	AUS	SYR	073
20151207	CHN	CHN	071
20151207	CHN	CHN	071
20151207	DEU	IRQ	070
20151207	FRA	CAN	070
20151207	HUN	HUN	071
20151207	AFR	TZA	071
20151207	IRQ	GBR	070
20151207	IRQ	GBR	070
20151207	KWT	AFR	070
20151207	KWT	MYS	070
20151207	KWT	MYS	070
20151207	LBY	GBR	070
20151207	LKA	LKA	071
20151207	LVA	EST	072
20151207	MAR	YEM	072
20151207	MAR	YEM	072
20151207	NGA	AFR	070
20151207	NGA	AFR	070
20151207	NGA	AFR	070
20151207	PRK	CHN	072
20151207	SDN	YEM	072
20151207	SDN	YEM	072
20151207	SDN	YEM	072
20151207	USA	ISR	072
20151207	USA	USA	070
20151207	USA	USA	071
20151207	YEM	SAU	071
20151207	YEM	SAU	071
20141207	SAU	KWT	070
20141207	SAU	KWT	070
20141207	USA	KWT	070
20141207	USA	KWT	070
20141207	USA	KWT	070
20141207	USA	SAU	070
20141207	USA	SAU	070
20151207	DNK	AFR	071
20151207	EUR	EUR	070
20151207	GBR	AFR	071
20151207	GBR	FRA	070
20151207	WST	NOR	071
20151207	WST	SYR	072
20151207	IND	IND	071
20151207	ISR	PSE	070
20151207	NGA	ZAF	070
20151207	NGA	ZAF	070
20151207	NGA	AFR	070
20151207	NGA	ZAF	070
20151207	NLD	BWA	070
20151207	NLD	BWA	070
20151207	PSE	PSE	070
20151207	PSE	PSE	070
20151207	PSE	PSE	070
20151207	SAU	TUR	070
20151207	SYR	GBR	071
20151207	SYR	GBR	071
20151207	TUR	GRC	070
20151207	TUR	GRC	070
20151207	TUR	GRC	070
20151207	TUR	SAU	070
20151207	TUR	SAU	070
20151207	USA	AFG	070
20151207	USA	GHA	071
20151207	USA	SYR	075
20151207	USA	USA	070
20151207	USA	IRQ	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	SYR	075
20151207	ARE	ARE	070
20151207	GBR	GBR	071
20151207	GBR	RUS	070
20151207	GBR	USA	070
20151207	GBR	USA	070
20151207	WST	SYR	072
20151207	WST	TUR	072
20151207	WST	TUR	072
20151207	IND	IND	070
20151207	IND	IND	071
20151207	IRQ	TUR	072
