20160306	GBR	GBR	073
20160306	PRT	AFR	071
20160306	PRT	AFR	071
20160306	RUS	NOR	075
20160306	RUS	NOR	075
20160306	USA	USA	071
20160306	USA	USA	071
20160228	EUR	FRA	071
20160228	EUR	FRA	071
20160228	EUR	FRA	071
20160306	AFR	CIV	072
20160306	JOR	SOM	070
20160306	LBN	SYR	072
20160306	LBN	SYR	072
20160306	LBN	SYR	072
20160306	QAT	SOM	075
20160306	QAT	SOM	075
20160306	SOM	JOR	070
20160306	SOM	SOM	070
20160306	TUR	NOR	073
20160306	TUR	NOR	073
20160306	TUR	SYR	070
20160306	USA	USA	072
20160306	USA	USA	072
20160306	USA	IRQ	070
20160306	AFR	GHA	070
20160306	AFR	MLI	070
20160306	EUR	TUR	075
20160306	USA	FRA	070
20160306	USA	FRA	070
20160306	BDI	BDI	074
20160306	CHN	CHN	071
20160306	MAR	MAR	073
20160306	NGA	AFR	071
20160306	NGA	NGA	071
20160306	RUS	SYR	073
20160306	RUS	SYR	073
20160306	SAU	FRA	071
20160306	SAU	FRA	071
20160306	SAU	FRA	071
20160306	SOM	QAT	075
20160306	SOM	QAT	075
20160306	TUR	SYR	071
20160306	TUR	SYR	071
20160306	USA	USA	070
20160306	AFG	AFG	071
20160306	EUR	TUR	071
20160306	WST	EUR	071
20160306	OMN	SAU	073
20160306	BGR	EUR	071
20160306	CYP	GRC	070
20160306	CYP	GRC	070
20160306	CYP	GRC	070
20160306	CYP	GRC	070
20160306	CYP	GRC	070
20160306	CYP	TUR	070
20160306	CYP	TUR	070
20160306	EUR	EUR	071
20160306	GRC	TUR	070
20160306	GRC	TUR	070
20160306	EUR	BGR	070
20160306	EUR	BGR	071
20160306	WST	EUR	071
20160306	PRK	PHL	070
20160306	SOM	ETH	075
20160306	USA	HUN	075
20160306	AFR	KWT	072
20160306	AFR	KWT	072
20160306	AUS	ISR	071
20160306	NGA	NGA	073
20160306	NGA	NGA	073
20160306	NGA	NGA	073
20160306	SAU	SYR	072
20160306	SAU	SYR	072
20160306	AFG	IND	070
20160306	AFG	IND	070
20160306	AUS	USA	071
20160306	AUT	AUT	073
20160306	FRA	GBR	071
20160306	FRA	GBR	071
20160306	FRA	GBR	072
20160306	FRA	FRA	071
20160306	FRA	FRA	072
20160306	GRC	AUT	073
20160306	GRC	AUT	073
20160306	GRC	EUR	073
20160306	GRC	EUR	073
20160306	ITA	EUR	073
20160306	ITA	EUR	073
20160306	ITA	EUR	073
20160306	JPN	VNM	071
20160306	LBY	LBY	072
20160306	IRN	SYR	070
20160306	IRN	SYR	070
20160306	UKR	EUR	071
20160306	USA	IRQ	070
20160306	IRN	TUR	070
20160306	JOR	SYR	075
20160306	JOR	SYR	075
20160306	YEM	PAK	071
20160306	GBR	EUR	070
20160306	GRC	TUR	075
20160306	GRC	TUR	075
20160306	SWE	DNK	071
20150307	THA	SGP	071
20150307	THA	SGP	071
20160306	CAN	SYR	075
20160306	CAN	SYR	075
20160306	CHN	CHN	070
20160306	CHN	CHN	070
20160306	CHN	FJI	071
20160306	CHN	FJI	070
20160306	FIN	SOM	075
20160306	FIN	SOM	075
20160306	FIN	SOM	075
20160306	FIN	SOM	075
20160306	FIN	SOM	075
20160306	GRC	AFG	075
20160306	GRC	AFG	075
20160306	EUR	TUR	075
20160306	IRQ	SAU	071
20160306	RUS	EUR	071
20160306	USA	MEX	071
20160306	USA	MEX	071
20160306	USA	USA	071
20160306	USA	USA	070
20160306	USA	ISR	071
20160306	USA	PSE	071
20160228	USA	USA	071
20160228	USA	USA	071
20160306	BGR	GRC	072
20160306	GRC	SYR	073
20160306	MEX	CHN	071
20160306	AFG	PAK	075
20160306	AFG	PAK	075
20160306	AUT	AUT	071
20160306	AUT	AUT	071
20160306	EUR	AFG	071
20160306	EUR	AFG	071
20160306	EUR	AFG	071
20160306	GBR	GBR	071
20160306	GBR	EUR	075
