20150511	PHL	PHL	071
20150511	PHL	PHL	071
20150511	USA	USA	071
20150511	USA	USA	071
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	PRK	072
20150511	USA	PRK	072
20150511	IRN	YEM	073
20150511	KEN	SOM	071
20150511	KEN	SOM	071
20150511	KHM	KHM	070
20150511	MYS	MYS	070
20150511	NGA	NGA	070
20150511	USA	USA	073
20150511	USA	USA	070
20150511	USA	USA	070
20150511	USA	IRN	071
20150511	USA	USA	070
20150511	AFR	EUR	073
20150511	AFR	EUR	073
20150511	CHE	DNK	071
20150511	CHE	PSE	071
20150511	DNK	PSE	071
20150511	DNK	PSE	071
20150511	EUR	LBY	075
20150511	EUR	LBY	075
20150511	IDN	MMR	073
20150511	IDN	MMR	073
20150511	USA	USA	071
20150511	NLD	DNK	071
20150511	NLD	PSE	071
20150511	NLD	PSE	071
20150511	NZL	NPL	071
20150511	SAU	YEM	073
20150511	SWE	DNK	071
20150511	SWE	PSE	071
20150511	SWE	PSE	071
20150511	USA	PAK	071
20150511	USA	USA	070
20150511	USA	PAK	071
20150511	USA	PAK	071
20150511	CHN	BRA	070
20150511	CHN	MNG	071
20150511	FRA	DJI	072
20150511	FRA	DJI	072
20150511	IRN	AFG	070
20150511	MYS	IDN	073
20150511	PAK	PAK	070
20150511	USA	DJI	072
20150511	USA	DJI	072
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	JPN	070
20150511	USA	JPN	070
20150511	AUS	AFG	070
20150511	AUS	AFG	070
20150511	BGR	EUR	071
20150511	CAN	USA	071
20150511	EUR	EUR	071
20150511	EUR	EUR	070
20150511	SYR	TUR	072
20150511	SYR	TUR	072
20150511	USA	SAU	070
20150511	ZWE	ZWE	071
20150511	AUS	EUR	075
20150511	AUS	EUR	075
20150511	AUS	EUR	075
20150511	AUS	EUR	075
20150511	BGD	MMR	073
20150511	CHN	RUS	071
20150511	EGY	SDN	070
20150511	EGY	EGY	070
20150511	JOR	SDN	070
20150511	MYS	BGD	073
20150511	RUS	CHN	070
20150511	RUS	CHN	070
20150511	RUS	CHN	071
20150511	USA	FRA	070
20150511	USA	FRA	070
20150511	USA	FRA	070
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	USA	070
20150511	USA	SDN	070
20150511	USA	SDN	070
20150511	USA	SDN	070
20150511	AFG	AFG	070
20150511	CHN	AFR	071
20150511	EUR	IRL	071
20150511	GBR	ARE	070
20150511	LBN	SYR	073
20150511	LBN	SYR	073
20150511	LUX	EUR	071
20150511	LUX	IRL	071
20150511	CHN	ETH	071
20150511	CHN	ETH	071
20150511	PAK	AFR	071
20150511	RUS	RUS	071
20150511	RUS	RUS	071
20150511	SAU	SAU	071
20150511	USA	JPN	070
20150511	USA	USA	070
20150511	USA	USA	071
20150511	AUS	PHL	070
20150511	AUS	PHL	070
20150511	AUS	PHL	071
20150511	AUS	PHL	071
20150511	CHN	RUS	071
20150511	DEU	GBR	073
20150511	GBR	GBR	071
20150511	GRC	GRC	071
20150511	MYS	SAU	072
20150511	NPL	NPL	073
20150511	NPL	NPL	073
20150511	RUS	AFR	070
20150511	RUS	AFR	070
20150511	RUS	AFR	070
20150511	SYR	SYR	073
20150511	USA	PRT	070
20150511	USA	PRT	070
20150511	USA	PRT	070
20150511	USA	PRT	070
20150511	USA	PRT	070
20150511	DEU	ITA	071
20150511	FIN	FIN	071
20150511	GRC	BEL	071
20150511	FRA	ITA	071
20150511	JPN	MEX	071
20150511	RUS	LVA	071
20150511	USA	CHN	070
20150511	USA	USA	070
20150511	USA	USA	070
20150511	USA	USA	070
20150511	EGY	EGY	072
20150511	GBR	EUR	071
20150511	IDN	MMR	073
20150511	NGA	WAF	070
20150511	NOR	GUY	070
20150511	USA	VUT	071
20150511	CHN	FJI	070
20150511	CHN	FJI	070
20150511	UGA	TZA	070
20150511	USA	RUS	072
20150511	USA	RUS	072
20150511	USA	USA	071
20150511	USA	USA	071
20150511	USA	ZWE	070
20150511	USA	ZWE	070
20150511	USA	ZWE	070
20150511	USA	USA	071
20150511	USA	FRA	070
20150511	USA	FRA	070
20140511	EUR	FRA	071
20140511	EUR	FRA	071
20140511	EUR	FRA	071
20150504	USA	DJI	072
20150504	USA	DJI	072
20150504	USA	DJI	072
20150511	AUS	AFG	072
20150511	AUS	AFG	072
20150511	AUS	AFR	072
20150511	AUS	AFR	072
20150511	AUS	AUS	074
20150511	ECU	SWE	075
20150511	ECU	SWE	075
20150511	EUR	CHN	074
20150511	EUR	CHN	074
20150511	EUR	CHN	074
20150511	EUR	DEU	070
20150511	EUR	DEU	070
20150511	EUR	DEU	071
20150511	EUR	DEU	071
20150511	EUR	FRA	071
20150511	EUR	FRA	071
20150511	EUR	GBR	071
20150511	FRA	DJI	072
20150511	FRA	EUR	071
20150511	FRA	EUR	071
20150511	IRQ	QAT	070
20150511	LBR	EUR	072
20150511	LBY	SAU	071
20150511	MLT	EUR	071
20150511	MYS	NPL	070
20150511	NZL	AUS	070
20150511	SAU	YEM	073
20150504	USA	DJI	072
20150511	EGY	EGY	071
20150511	IRN	PSE	071
20150511	IRN	PSE	071
20150511	IRN	PSE	071
20150511	SAU	YEM	073
20150511	USA	DJI	072
20150511	YEM	EGY	071
20150511	AUS	PAK	070
20150511	AUS	NPL	071
20150511	EUR	EUR	071
20150511	NPL	NPL	073
20150511	AFR	ZAF	070
20150511	CHN	MNG	071
20150511	DEU	IRL	071
20150511	DEU	IRL	071
20150511	ECU	SWE	075
20150511	ECU	SWE	075
20150511	EUR	IRL	071
20150511	EUR	IRL	071
20150511	GBR	ECU	075
20150511	GBR	ECU	075
20150511	GBR	NGA	072
20150511	GBR	NGA	072
20150511	GBR	NGA	072
20150511	USA	USA	070
20150511	NGA	NGA	072
20150511	QAT	LBN	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	SEN	YEM	072
20150511	USA	NGA	072
20150511	USA	NGA	072
20150511	USA	NGA	072
20150511	USA	USA	071
20150511	USA	FRA	070
20150504	USA	DJI	072
20150511	CAN	SGP	071
20150511	CHN	CHN	072
20150511	CHN	CHN	072
20150511	ECU	AUS	075
20150511	ECU	AUS	075
20150511	FRA	DJI	072
20150511	FRA	FRA	073
20150511	FRA	GBR	073
20150511	MYS	BGD	073
20150511	NOR	CAN	071
20150511	NPL	ISR	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	USA	USA	070
20150511	ZWE	GBR	075
20150511	ZWE	GBR	075
20150511	AUS	AUS	070
20150511	DJI	IRN	072
20150511	GBR	GBR	073
20150511	LKA	LKA	071
20150511	LUX	GBR	073
20150511	NOR	AFG	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	SYR	WST	070
20150511	USA	FRA	071
20150511	USA	FRA	071
20150511	USA	USA	070
20150511	USA	USA	070
20150511	USA	USA	070
20150511	ARM	EUR	071
20150511	CHN	RUS	070
20150511	CHN	RUS	070
20150511	CHN	GNQ	071
20150511	DEU	FRA	070
20150511	DEU	ISR	070
20150511	DEU	ITA	070
20150511	DEU	ITA	070
20150511	DEU	ITA	070
20150511	DEU	DEU	070
20150511	DEU	DEU	070
20150511	ESP	ITA	070
20150511	ESP	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GNQ	CHN	071
20150511	GNQ	CHN	071
20150511	LBY	LBY	072
20150511	LBY	LBY	072
20150511	PAK	ITA	073
20150511	RUS	RUS	070
20150511	SAU	MYS	072
20150511	SAU	MYS	072
20150511	SAU	YEM	073
20150511	SAU	YEM	073
20150511	SAU	SAU	072
20150511	SRB	ALB	075
20150511	SRB	ALB	075
20150511	UKR	EUR	071
20150511	UKR	EUR	071
20150511	USA	USA	071
20150511	USA	IRQ	071
20150511	ZAF	MMR	073
20150511	CHN	USA	070
20150511	CHN	USA	070
20150511	CHN	USA	071
20150511	CHN	USA	071
20150511	CHN	GNQ	071
20150511	EGY	ETH	073
20150511	EGY	ETH	073
20150511	GBR	USA	070
20150511	GBR	USA	070
20150511	GNQ	CHN	071
20150511	GNQ	CHN	071
